BreedingSite,Site_code,LU,Round,Season,Latitude,Longitude,Date_time,Water_temp,Air_temp,Humidity,Wind,Weather,Dimensions,dim1,dim2,Dimension,Dimension_cat,Habitat_class,Habitat_description,Current,WaterReservoir_material,BottomLayer,BottomLayer_cat,BottomLayer_cat2,BottomLayer_Leaves,BottomLayer_Mud,BottomLayer_Rocks/gravels,BottomLayer_Other,Depth,Edges,Turbidity,Pollution,Pollution_cat,Pollution_cat2,Pollution_Plastic/rubbish,Pollution_debris,Pollution_oil,Pollution_AnimalFaeces,Pollution_other,Water_colour,Shading,LandUse_village,LandUse_plantations,LandUse_fields,LandUse_forest,LandUse_fields_cassava,LandUse_fields_rice,LandUse_fields_vacant,LandUse_plantations_cashew,LandUse_plantations_rubber,LandUse_plantations_banana,Vegetation,Vegetation_cat,Vegetation_cat2,Vegetation_submerged,Vegetation_emerged,Vegetation_floating,Vegetation_algae,VegetationSurface,Predators,Predators_cat,Predators_cat2,Predators_Coleoptera,Predators_Hemiptera,Predators_Odonata,Predators_Crustacean,Predators_MsqLarvae,Predators_Fish,Predators_other,Predators_Coleoptera_Dysticidae,Predators_Coleoptera_Hydrophilidae,Predators_Hemiptera_Notonectae,Predators_Hemiptera_Corixidae,Predators_Hemiptera_Nepidae,Predators_Hemiptera_unidentified,Predators_Hemiptera_other,Predators_Odonata_Dragonflies,Predators_Odonata_Damselflies,Predators_Odonata_unidentified,Predators_Odonata_other,Predators_Crustacean_Cyclopoids,Predators_MsqLarvae_Toxorynchites,Predators_other_1,Animals,Animals_amphibian,Animals_domestic,Animals_other,VisiblePeople,Remarks,Mosquito,Unidentified,NonAnopheles,NonAnopheles_genus,NonAnopheles_genus2,Aedes,Armigeres,Culex,Malaya,Tripteroides,Anopheles,Anopheles_SppNb,Anopheles_barbirostris,Anopheles_hyrcanus,Anopheles_indefinitus,Anopheles_jamesii,Anopheles_kochi,Anopheles_maculatus,Anopheles_nivipes,Anopheles_philippinensis,Anopheles_pyretophorus,Anopheles_subpictus,Anopheles_unidentified,Anopheles_vagus
FIH02-G034,FIH02,fields,4,Rainy,12.1520943,106.8520351,11/08/2020 09:27,29.2,32.9,60.7,No,Cloudy,170*60,170,60,10200,Medium,Stagnant temporary water bodies,Puddles and ditches,NA,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Deep,Shallow,Medium,No,None,None,No,No,No,No,No,Grey,Partial,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Multiple,Emerged-Algae,No,Yes,No,Yes,5;25,Yes,Other,Hemiptera,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,NA,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V05-G002,V05,village,1,Rainy,12.1885792,106.8428494,29/10/2019 09:07,27.8,30.8,58.4,Little,Sunny,200*34,200,34,6800,Medium,Stagnant temporary water bodies,Road tracks,NA,NA,Yes,Mud,Mud,No,Yes,No,No,Shallow,Shallow,High,No,None,None,No,No,No,No,No,Brown,None,Yes,No,Yes,No,NA,NA,NA,NA,NA,NA,No,None,None,No,No,No,No,NA,Yes,Other,Hemiptera,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None,1,0,0,None,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
FIH03-G034,FIH03,fields,4,Rainy,12.1758389,106.8718972,31/07/2020 11:02,28,30.5,99.9,No,Rainy,700*250,700,250,175000,Large,Stagnant temporary water bodies,Puddles and ditches,NA,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Deep,Shallow,High,Yes,Oil,Oil,No,No,Yes,No,No,Brown,None,No,Yes,No,No,No,No,Yes,No,No,No,No,None,None,No,No,No,No,NA,Yes,Other,Hemiptera,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,"Ephymeroptera, Trychoptera",No,No,No,No,No,No,No,No,No,No,No,No,NA,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIH03-G008,FIH03,fields,1,Rainy,12.1760634,106.8718424,01/11/2019 17:14,28,29.1,84.7,No,Sunny,250*700,250,700,175000,Large,Running water,Streams,No,NA,Yes,Mud,Mud,No,Yes,No,No,Shallow,Shallow,High,No,None,None,No,No,No,No,No,Brown,Partial,No,No,Yes,No,NA,NA,NA,NA,NA,NA,Yes,Algae,Algae,No,No,No,Yes,5;25,Yes,Multiple,Multiple,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Few,"Part of the stream, apart from the rest, forming a sort of pond.",0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V05-G066,V05,village,4,Rainy,12.1886712,106.8424519,10/08/2020 11:05,31,33.2,64.3,Little,Sunny,3140*435,3140,435,1365900,VeryLarge,Stagnant temporary water bodies,Puddles and ditches,NA,NA,Yes,Mud,Mud,No,Yes,No,No,Deep,Shallow,High,No,None,None,No,No,No,No,No,Brown,Partial,Yes,No,No,No,No,No,No,No,No,No,Yes,Algae,Algae,No,No,No,Yes,<5,Yes,Multiple,Multiple,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Few,NA,1,0,0,None,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
FIH03-G039,FIH03,fields,4,Rainy,12.176209,106.8709791,31/07/2020 13:20,28.8,27.1,99.9,Little,Rainy,410*300,410,300,123000,Large,Stagnant temporary water bodies,Puddles and ditches,NA,NA,Yes,Mud,Mud,No,Yes,No,No,Deep,Shallow,High,Yes,AnimalFaeces,AnimalFaeces,No,No,No,Yes,No,Grey,None,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Emerged,Emerged,No,Yes,No,No,<5,Yes,Multiple,Multiple,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Ephymeroptera,Yes,No,Yes,No,No,NA,0,0,0,None,None,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
FIH03-G042,FIH03,fields,4,Rainy,12.1762381,106.8710231,31/07/2020 14:02,26.8,27,99.9,No,Rainy,250*260,250,260,65000,Large,Stagnant temporary water bodies,Puddles and ditches,NA,NA,Yes,Mud,Mud,No,Yes,No,No,Deep,Shallow,Medium,No,None,None,No,No,No,No,No,Grey,None,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Emerged,Emerged,No,Yes,No,No,<5,Yes,Multiple,Multiple,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,NA,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIH03-G043,FIH03,fields,4,Rainy,12.1761871,106.8713462,31/07/2020 14:09,28.3,26.1,99.9,No,Rainy,240*200,240,200,48000,Large,Stagnant temporary water bodies,Puddles and ditches,NA,NA,Yes,Mud,Mud,No,Yes,No,No,Deep,Shallow,Medium,No,None,None,No,No,No,No,No,Grey,None,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Emerged,Emerged,No,Yes,No,No,<5,Yes,Multiple,Multiple,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,NA,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIH03-G061,FIH03,fields,4,Rainy,12.1769901,106.8718585,31/07/2020 09:28,28.4,27.2,99.2,No,Rainy,160*140,160,140,22400,Medium,Stagnant temporary water bodies,Well,NA,NA,No,None,None,No,No,No,No,Deep,Abrupt,High,Yes,None,None,No,No,No,No,One plastic container used for the well,Grey,None,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Emerged,Emerged,No,Yes,No,No,5;25,Yes,Multiple,Multiple,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Lots of damselflies,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIH02-G031,FIH02,fields,4,Rainy,12.152046,106.8520483,11/08/2020 08:46,30.4,33.6,71.1,No,Cloudy,54*32,54,32,1728,Small,Stagnant temporary water bodies,Puddles and ditches,NA,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Shallow,Shallow,Little,Yes,Oil,Oil,No,No,Yes,No,No,Grey,Partial,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Emerged,Emerged,No,Yes,No,No,<5,Yes,Multiple,Multiple,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Mayfly,No,No,NA,Yes,Yes,No,No,No,NA,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIH02-G060,FIH02,fields,4,Rainy,12.1526264,106.8518851,11/08/2020 08:17,28.2,31.2,77.4,No,Cloudy,95*60,96,60,5760,Medium,Stagnant temporary water bodies,Puddles and ditches,NA,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Shallow,Shallow,Little,Yes,Oil,Oil,No,No,Yes,No,No,Brown,None,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Emerged,Emerged,No,Yes,No,No,5;25,Yes,Multiple,Multiple,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Crab,Few,Puddle in a rice field  High density of odonata,1,0,0,None,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
PL01-G032,PL01,plantations,4,Rainy,12.1839109,106.7727523,06/08/2020 14:16,28.9,27.9,99.9,Little,Rainy,150*NA,150,10000,1500000,VeryLarge,Running water,Ditches and trenches,Yes,NA,Yes,Composite,Leaves-Mud-Rocks,Yes,Yes,Yes,No,Deep,Shallow,High,Yes,Plastic,Plastic,Yes,No,No,No,No,Grey,Partial,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Emerged,Emerged,No,Yes,No,No,<5,Yes,Multiple,Multiple,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Many,Out of site,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V06-G049,V06,village,4,Rainy,12.1804417,106.8733969,08/08/2020 09:49,30.1,31.9,NA,Little,Cloudy,690*240,690,240,165600,Large,Stagnant temporary water bodies,Puddles and ditches,NA,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Deep,Shallow,Medium,Yes,Multiple,Plastic-AnimalFaeces,Yes,No,No,Yes,No,Brown,Partial,Yes,No,No,No,No,No,No,No,No,No,Yes,Emerged,Emerged,No,Yes,No,No,5;25,Yes,Multiple,Multiple,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Out of site,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V06-G058,V06,village,4,Rainy,12.1804836,106.8731713,08/08/2020 13:09,30.9,26.2,NA,Little,Rainy,420*230,420,230,96600,Large,Stagnant temporary water bodies,Puddles and ditches,NA,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Deep,Shallow,Medium,Yes,Multiple,Plastic-AnimalFaeces,Yes,No,No,Yes,No,Brown,Partial,Yes,No,No,No,No,No,No,No,No,No,Yes,Emerged,Emerged,No,Yes,No,No,<5,Yes,Multiple,Multiple,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Few,Out of site,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIH04-G031,FIH04,fields,4,Rainy,12.1815674,106.9227373,30/07/2020 09:22,29.8,33.1,68.115,Little,Cloudy,490*NA,490,10000,4900000,VeryLarge,Running water,Ditches and trenches,No,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Deep,Shallow,None,Yes,Multiple,Plastic-oil,Yes,No,Yes,No,No,Transparent,Partial,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Emerged,Emerged,No,Yes,No,No,50;75,Yes,Multiple,Multiple,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,NA,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL01-G030,PL01,plantations,4,Rainy,12.18355556,106.7733889,06/08/2020 13:38,29.4,29.3,99.9,Little,Rainy,3000*150,3000,150,450000,Large,Stagnant temporary water bodies,Puddles and ditches,NA,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Shallow,Shallow,Medium,No,None,None,No,No,No,No,No,Transparent,Partial,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Multiple,Emerged-Algae,No,Yes,No,Yes,25;50,Yes,Multiple,Multiple,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIH02-G062,FIH02,fields,4,Rainy,12.1528878,106.8520997,11/08/2020 09:19,30,31.2,73.3,Little,Cloudy,310*110,310,110,34100,Medium,Stagnant temporary water bodies,Puddles and ditches,NA,NA,Yes,Mud,Mud,No,Yes,No,No,Shallow,Shallow,Medium,No,None,None,No,No,No,No,No,Brown,Partial,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Multiple,Emerged-Algae,No,Yes,No,Yes,5;25,Yes,Multiple,Multiple,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Puddle in the rice field    One mosquito larva    Small odonata,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIH04-G002,FIH04,fields,1,Rainy,12.182763,106.9227236,16/10/2019 10:22,37.4,38.2,63.3,Little,Sunny,420*NA,420,10000,4200000,VeryLarge,Running water,Streams,No,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Deep,Shallow,Little,Yes,Plastic,Plastic,Yes,No,No,No,No,Brown,None,No,Yes,No,No,NA,NA,NA,NA,NA,NA,Yes,Multiple,Emerged-Algae,No,Yes,No,Yes,5;25,Yes,Multiple,Multiple,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,Crab,No,"Larvae found in a very shallow part, clear water next to/into footsteps (bit more turbid).  Collection after a night raining.  Larvae sampling with pipette.",1,0,0,None,None,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0
FIH03-G003,FIH03,fields,1,Rainy,12.1764397,106.8723195,01/11/2019 15:19,27.6,30.8,70.8,No,Sunny,15*NA,15,10000,150000,Large,Running water,Streams,No,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Deep,Shallow,None,Yes,Multiple,Plastic-oil,Yes,No,Yes,No,No,Brown,Partial,No,No,Yes,No,NA,NA,NA,NA,NA,NA,Yes,Multiple,Emerged-Algae,No,Yes,No,Yes,5;25,Yes,Multiple,Multiple,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Stream next to the rice paddy,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIH04-G032,FIH04,fields,4,Rainy,12.1827584,106.9226866,30/07/2020 10:42,26,36.4,63.3,No,Cloudy,668*NA,668,10000,6680000,VeryLarge,Running water,Streams,No,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Deep,Shallow,Medium,Yes,Multiple,Plastic-oil,Yes,No,Yes,No,No,Brown,Partial,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Multiple,Emerged-Algae,No,Yes,No,Yes,25;50,Yes,Multiple,Multiple,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,"Hors transect, stream sampled in round 1  Mosquito larvae are not anopheles,unidentified as mixed with other sites",0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIH03-G032,FIH03,fields,4,Rainy,12.1756674,106.8719038,31/07/2020 10:23,27.4,31.2,99.9,No,Rainy,480*470,480,470,225600,Large,Stagnant temporary water bodies,Puddles and ditches,NA,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Deep,Shallow,Medium,Yes,Plastic,Debris,No,Yes,No,No,No,Brown,Partial,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Multiple,Submerged-Emerged,Yes,Yes,No,Yes,25;50,Yes,Multiple,Multiple,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Ephymeroptera,No,No,No,No,No,NA,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIH03-G030,FIH03,fields,4,Rainy,12.1754772,106.8721238,31/07/2020 09:25,26.9,30.8,99.9,No,Rainy,470*370,470,370,173900,Large,Stagnant temporary water bodies,Puddles and ditches,NA,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Shallow,Shallow,Medium,No,None,None,No,No,No,No,No,Brown,Partial,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Multiple,Submerged-Emerged,Yes,Yes,No,Yes,50;75,Yes,Multiple,Multiple,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Earthworm,No,NA,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V05-G064,V05,village,4,Rainy,12.1887108,106.8428972,10/08/2020 10:33,32.1,28.7,81.6,Little,Cloudy,2200*210,2200,210,462000,VeryLarge,Stagnant temporary water bodies,Rice paddies,NA,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Deep,Shallow,Little,Yes,Multiple,Plastic-oil,Yes,No,Yes,No,No,Transparent,None,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Multiple,Submerged-Emerged,Yes,Yes,No,Yes,25;50,Yes,Multiple,Multiple,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2 pesticide bottles,1,0,0,None,None,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0
FIH03-G031,FIH03,fields,4,Rainy,12.1755947,106.8719326,31/07/2020 09:55,26.9,29.8,99.3,No,Rainy,NA*310,10000,310,3100000,VeryLarge,Running water,Streams,Yes,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Deep,Shallow,High,Yes,Plastic,Debris,No,Yes,No,No,No,White,Partial,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Multiple,Submerged-Emerged-Floating,Yes,Yes,Yes,Yes,50;75,Yes,Multiple,Multiple,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Ephymeroptera,No,No,No,No,No,NA,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIL03-G031,FIL03,plantations,4,Rainy,12.179872,106.9172618,30/07/2020 12:44,26,29.4,81.2,Little,Cloudy,100*50,100,50,5000,Medium,Running water,Streams,No,NA,Yes,Leaves,Leaves-rocks,Yes,No,Yes,No,Deep,Shallow,None,No,None,None,No,No,No,No,No,Transparent,Partial,No,No,Yes,No,No,No,No,Yes,No,No,No,None,None,No,No,No,No,NA,Yes,Multiple,Multiple,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Gerridae,No,No,No,No,No,No,No,No,No,No,No,No,NA,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V06-G030,V06,village,4,Rainy,12.1810741,106.8740899,07/08/2020 08:56,24.5,29.7,76.3,Little,Cloudy,12*10,12,10,120,Small,Artificial containers,Basins and pits,NA,NA,No,None,None,No,No,No,No,Shallow,Shallow,None,No,None,None,No,No,No,No,No,Transparent,Partial,Yes,No,No,No,No,No,No,No,No,No,No,None,None,No,No,No,No,NA,Yes,Multiple,Multiple,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Lavar deptera,No,No,No,No,Few,NA,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V06-G039,V06,village,4,Rainy,12.1812862,106.8745881,07/08/2020 10:07,27.6,29.8,89.3,Little,Cloudy,22*11,22,11,242,Small,Artificial containers,"Plastic, plastic bottle, rubbish",NA,NA,No,None,None,No,No,No,No,Shallow,Shallow,Little,No,None,None,No,No,No,No,No,Grey,Partial,Yes,No,No,No,No,No,No,No,No,No,No,None,None,No,No,No,No,NA,Yes,Multiple,Multiple,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Earthworm,No,No,No,No,Few,NA,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOH02-G002,FOH02,forest,1,Rainy,12.2369108,106.8773134,19/10/2019 12:41,26.8,27.9,91.5,No,Cloudy,130*3450,130,3450,448500,Large,Stagnant temporary water bodies,Road tracks,NA,NA,Yes,Mud,Mud,No,Yes,No,No,Shallow,Shallow,High,Yes,Oil,Oil,No,No,Yes,No,No,Brown,Complete,No,No,No,Yes,NA,NA,NA,NA,NA,NA,No,None,None,No,No,No,No,NA,Yes,Multiple,Multiple,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,None,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIL03-G008,FIL03,plantations,1,Rainy,12.1795481,106.9168481,15/10/2019 10:55,34.5,32.3,56.6,No,Sunny,107*243,107,243,26001,Medium,Artificial containers,Water reservoir,NA,Plastic,Yes,Leaves,Leaves,Yes,No,No,Algae,Deep,Abrupt,Little,No,None,None,No,No,No,No,No,Green,Partial,No,Yes,No,No,NA,NA,NA,NA,NA,NA,Yes,Algae,Algae,No,No,No,Yes,25;50,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Few,Water sample has been lost (falcon50),0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V06-G065,V06,village,4,Rainy,12.18136111,106.8753889,07/08/2020 09:32,26.1,28.5,NA,No,Cloudy,50*50,50,50,2500,Medium,Artificial containers,Basins and pits,NA,NA,Yes,Leaves,Leaves,Yes,No,No,No,Shallow,Abrupt,Little,No,None,None,No,No,No,No,No,Transparent,Partial,Yes,No,No,No,No,No,No,No,No,No,Yes,Algae,Algae,No,No,No,Yes,<5,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Few,NA,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL01-G061,PL01,plantations,4,Rainy,12.1843329,106.7733173,06/08/2020 13:57,26.6,26.7,99.9,No,Rainy,28*10,28,10,280,Small,Artificial containers,"Plastic, plastic bottle, rubbish",NA,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Shallow,Shallow,None,No,None,None,No,No,No,No,No,Transparent,Complete,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Algae,Algae,No,No,No,Yes,<5,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V06-G070,V06,village,4,Rainy,12.18136111,106.8751944,07/08/2020 10:13,24.8,30.2,NA,Little,Cloudy,38*44,38,44,1672,Small,Artificial containers,Other,NA,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Shallow,Abrupt,Little,No,None,None,No,No,No,No,No,Brown,Complete,Yes,No,No,No,No,No,No,No,No,No,Yes,Algae,Algae,No,No,No,Yes,<5,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Few,NA,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL01-G060,PL01,plantations,4,Rainy,12.1848631,106.7734111,06/08/2020 13:37,26.8,27.2,NA,No,Rainy,16*3,16,3,48,VerySmall,Artificial containers,"Plastic, plastic bottle, rubbish",NA,NA,Yes,Mud,Mud,No,Yes,No,No,Shallow,Shallow,None,No,None,None,No,No,No,No,No,Transparent,Complete,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Algae,Algae,No,No,No,Yes,<5,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V06-G067,V06,village,4,Rainy,12.18136111,106.8753889,07/08/2020 09:39,26.9,28.5,NA,No,Cloudy,20*20,20,20,400,Small,Artificial containers,Pots,NA,NA,Yes,Mud,Mud,No,Yes,No,No,Deep,Abrupt,Medium,No,None,None,No,No,No,No,No,Brown,Partial,Yes,No,No,No,No,No,No,No,No,No,Yes,Algae,Algae,No,No,No,Yes,<5,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Few,NA,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V06-G002,V06,village,1,Rainy,12.1813759,106.8754138,01/11/2019 09:28,33.7,33.7,53.9,Little,Sunny,16*16,16,16,256,Small,Artificial containers,Plastic or rubbish,NA,NA,No,None,None,No,No,No,No,Shallow,Abrupt,None,No,None,None,No,No,No,No,No,Transparent,None,Yes,No,No,No,NA,NA,NA,NA,NA,NA,Yes,Algae,Algae,No,No,No,Yes,<5,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Few,None,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIL01-G030,FIL01,fields,4,Rainy,12.19191667,106.8055,06/08/2020 09:27,28.3,30.9,83.2,Medium,Cloudy,6*10,6,10,60,VerySmall,Artificial containers,"Plastic, plastic bottle, rubbish",NA,NA,Yes,None,None,No,No,No,Algae,Shallow,Abrupt,None,No,None,None,No,No,No,No,No,Transparent,None,No,Yes,No,No,Yes,No,No,No,No,No,Yes,Algae,Algae,No,No,No,Yes,<5,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
